organizationId,ticker,year,quarter,DebtToEquityRatio,EBITMargin,ROA,ROE,ROIC,EPS,PB,PE,NetRevenueGrowthYoY,GrossProfitGrowthYoY
3099,HCM,2023,3,0.98133296,0.32315618,0.040985,0.07765,0.05849948,467.42794605,2.28189381,21.2706411,0.08522889,0.19678166
3099,HCM,2023,4,1.10204159,0.26095798,0.04043206,0.08323405,0.01404729,391.40656007,2.10460813,19.66315298,-0.02840431,0.34751414
3102,HDC,2023,1,0.89930853,0.36768136,0.078395,0.203102,0.07421287,295.58834001,2.84173147,15.01655739,-0.55793252,-0.50309608
3102,HDC,2023,2,0.89769716,0.23440028,0.065411,0.163714,0.05021872,147.75419816,2.18814881,13.65108177,-0.66036626,-0.71452714
3102,HDC,2023,3,0.85596851,0.37118132,0.05692961,0.1378509,0.0101786,240.46791434,2.22941605,16.33602904,-0.51137503,-0.43030876
3102,HDC,2023,4,0.89363829,0.42743317,0.02886691,0.07080833,0.05403379,346.82043854,2.21314911,31.71248387,0.10348703,2.07441157
3116,HDG,2023,1,0.8487332,0.56370078,0.07658,0.221755,0.14725304,1237.63758377,1.82171981,8.65766254,0.39738896,0.23866132
3116,HDG,2023,2,0.82037099,0.39512946,0.05548914,0.15177634,0.01678965,144.78989144,1.40686698,9.45446559,-0.3772661,-0.53096195
3116,HDG,2023,3,0.8014862,0.48780052,0.04545347,0.11924836,0.01392262,276.04295546,1.41247184,12.05476038,-0.4512654,-0.51639841
3116,HDG,2023,4,0.74180061,0.62056083,0.04789374,0.16022894,0.01261408,945.0355276,1.39520963,12.41273102,-0.25043618,-0.04483626
4871,TCH,2023,1,0.00376543,0.28424808,0.0171404,0.03026972,0.02190418,259.60755021,0.8417429,26.82845752,-0.52138653,0.33157487
4871,TCH,2023,2,0.00221056,0.24702932,,,,82.27432903,,,0.35466904,1.48051623
4871,TCH,2023,3,0.0068441,0.0368644,0.02763984,0.04794882,0.00822488,83.08614011,1.07448281,22.31069046,-0.29348161,-0.10903555
4871,TCH,2023,4,0.17076045,0.32348826,0.03824268,0.11292435,0.04994058,403.68510278,1.26403725,18.26726025,0.7019743,1.43640662
3263,HSG,2023,1,0.34406239,0.04152996,,,,,,,-0.44861724,-0.34672139
3263,HSG,2023,2,0.4215314,0.00649142,-0.07830302,-0.12476182,,23.65592616,0.98785712,-7.85186192,-0.29000486,-0.44068236
3263,HSG,2023,3,0.27238397,0.0541235,0.00146911,0.00235857,,714.40798715,1.34766747,590.73772997,0.02109423,6.14768551
3263,HSG,2023,4,0.43092801,0.0121714,0.04638188,0.07633716,0.00794082,167.78444689,1.1009342,15.11532248,0.14598117,4.93680147
3270,HT1,2023,1,0.46192702,-0.01557292,0.016296,0.029609,0.04205751,-224.43649402,1.27255669,42.18733629,-0.13575872,-0.5372581
3270,HT1,2023,2,0.43363632,0.05139894,0.007227,0.013361,0.02888525,153.89207341,0.94403918,69.3548716,-0.16232789,-0.37260825
