organizationId,ticker,year,quarter,ratios
3500,PLX,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.73755051}, 'ProfitabilityRatio': {'EBITMargin': -0.0445695, 'ROA': 0.020931, 'ROE': 0.05837, 'ROIC': 0.04708147}, 'ValuationRatios': {'BasicEPS': -1463.11678996, 'PriceToBook': 2.7081305, 'PriceToEarning': 40.92694414}, 'Growth': {'NetRevenueGrowthYoY': -0.08300828, 'GrossProfitGrowthYoY': -0.88095149}}"
3500,PLX,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.67358091}, 'ProfitabilityRatio': {'EBITMargin': 0.01799493, 'ROA': 0.019063, 'ROE': 0.053423, 'ROIC': 0.02886904}, 'ValuationRatios': {'BasicEPS': 832.40146416, 'PriceToBook': 2.9598156, 'PriceToEarning': 51.70003489}, 'Growth': {'NetRevenueGrowthYoY': -0.46263571, 'GrossProfitGrowthYoY': -0.2572492}}"
3500,PLX,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.73444491}, 'ProfitabilityRatio': {'EBITMargin': 0.03308035, 'ROA': 0.017291, 'ROE': 0.049258, 'ROIC': 0.02251523}, 'ValuationRatios': {'BasicEPS': 659.35572119, 'PriceToBook': 3.01293682, 'PriceToEarning': 59.61931599}, 'Growth': {'NetRevenueGrowthYoY': -0.43540468, 'GrossProfitGrowthYoY': -0.0713141}}"
3500,PLX,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.66448111}, 'ProfitabilityRatio': {'EBITMargin': 0.03019042, 'ROA': 0.016089, 'ROE': 0.044727, 'ROIC': 0.01876894}, 'ValuationRatios': {'BasicEPS': 721.34223236, 'PriceToBook': 2.99156056, 'PriceToEarning': 66.62691675}, 'Growth': {'NetRevenueGrowthYoY': -0.36609093, 'GrossProfitGrowthYoY': 0.04482296}}"
3742,SAB,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.05875488}, 'ProfitabilityRatio': {'EBITMargin': 0.13274514, 'ROA': 0.181337, 'ROE': 0.253771, 'ROIC': 0.2400651}, 'ValuationRatios': {'BasicEPS': 1091.9236624, 'PriceToBook': 6.36387204, 'PriceToEarning': 24.19194983}, 'Growth': {'NetRevenueGrowthYoY': -0.47424897, 'GrossProfitGrowthYoY': -0.38244089}}"
3742,SAB,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.04586072}, 'ProfitabilityRatio': {'EBITMargin': 0.16832834, 'ROA': 0.166902, 'ROE': 0.235465, 'ROIC': 0.21377288}, 'ValuationRatios': {'BasicEPS': 1815.83442201, 'PriceToBook': 6.41514581, 'PriceToEarning': 27.77643206}, 'Growth': {'NetRevenueGrowthYoY': -0.21487592, 'GrossProfitGrowthYoY': -0.08552624}}"
3742,SAB,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.04639214}, 'ProfitabilityRatio': {'EBITMargin': 0.1879205, 'ROA': 0.162526, 'ROE': 0.229715, 'ROIC': 0.20709225}, 'ValuationRatios': {'BasicEPS': 2172.23617535, 'PriceToBook': 5.62757913, 'PriceToEarning': 26.12553354}, 'Growth': {'NetRevenueGrowthYoY': -0.17375483, 'GrossProfitGrowthYoY': 0.03077986}}"
3742,SAB,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.04596009}, 'ProfitabilityRatio': {'EBITMargin': 0.2001492, 'ROA': 0.173857, 'ROE': 0.243821, 'ROIC': 0.21877317}, 'ValuationRatios': {'BasicEPS': 2285.72449718, 'PriceToBook': 5.46079663, 'PriceToEarning': 23.05274008}, 'Growth': {'NetRevenueGrowthYoY': -0.19156183, 'GrossProfitGrowthYoY': -0.03098455}}"
3772,SSB,2020,1,
3772,SSB,2020,2,
3772,SSB,2020,3,
3772,SSB,2020,4,
3793,SHB,2020,1,
3793,SHB,2020,2,
3793,SHB,2020,3,
3793,SHB,2020,4,
3907,SSI,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 1.82292873}, 'ProfitabilityRatio': {'EBITMargin': 0.24150275, 'ROA': 0.025707, 'ROE': 0.073415, 'ROIC': 0.05611364}, 'ValuationRatios': {'BasicEPS': 18.48791796, 'PriceToBook': 0.89658937, 'PriceToEarning': 11.80680202}, 'Growth': {'NetRevenueGrowthYoY': 0.33248757, 'GrossProfitGrowthYoY': -0.40791362}}"
3907,SSI,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 1.54129363}, 'ProfitabilityRatio': {'EBITMargin': 0.64162877, 'ROA': 0.038545, 'ROE': 0.10782, 'ROIC': 0.06790932}, 'ValuationRatios': {'BasicEPS': 867.22665945, 'PriceToBook': 1.03037184, 'PriceToEarning': 9.71900151}, 'Growth': {'NetRevenueGrowthYoY': 0.72129898, 'GrossProfitGrowthYoY': 0.73004773}}"
3907,SSI,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 1.73127486}, 'ProfitabilityRatio': {'EBITMargin': 0.59503876, 'ROA': 0.040875, 'ROE': 0.116372, 'ROIC': 0.06744392}, 'ValuationRatios': {'BasicEPS': 570.59511994, 'PriceToBook': 1.8288215, 'PriceToEarning': 15.63426401}, 'Growth': {'NetRevenueGrowthYoY': 0.08064754, 'GrossProfitGrowthYoY': 0.03841537}}"
3907,SSI,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 2.48136545}, 'ProfitabilityRatio': {'EBITMargin': 0.55648251, 'ROA': 0.04003501, 'ROE': 0.13134854, 'ROIC': 0.06231908}, 'ValuationRatios': {'BasicEPS': 631.61458305, 'PriceToBook': 2.14644254, 'PriceToEarning': 15.63262075}, 'Growth': {'NetRevenueGrowthYoY': 0.30004407, 'GrossProfitGrowthYoY': 0.36488322}}"
3922,STB,2020,1,
3922,STB,2020,2,
3922,STB,2020,3,
3922,STB,2020,4,
3842,TCB,2020,1,
3842,TCB,2020,2,
3842,TCB,2020,3,
3842,TCB,2020,4,
4029,TPB,2020,1,
4029,TPB,2020,2,
4029,TPB,2020,3,
4029,TPB,2020,4,
4143,VCB,2020,1,
4143,VCB,2020,2,
4143,VCB,2020,3,
4143,VCB,2020,4,
4062,VIB,2020,1,
4062,VIB,2020,2,
4062,VIB,2020,3,
4062,VIB,2020,4,
4400,VIC,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 1.11868144}, 'ProfitabilityRatio': {'EBITMargin': -0.12329933, 'ROA': 0.0182, 'ROE': 0.088637, 'ROIC': 0.01648491}, 'ValuationRatios': {'BasicEPS': 129.62305864, 'PriceToBook': 3.62940579, 'PriceToEarning': 41.27846572}, 'Growth': {'NetRevenueGrowthYoY': -0.29575624, 'GrossProfitGrowthYoY': -0.58445617}}"
4400,VIC,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 1.16348667}, 'ProfitabilityRatio': {'EBITMargin': -0.014706, 'ROA': 0.018895, 'ROE': 0.097187, 'ROIC': 0.00350036}, 'ValuationRatios': {'BasicEPS': 604.81122658, 'PriceToBook': 4.19533059, 'PriceToEarning': 45.60077605}, 'Growth': {'NetRevenueGrowthYoY': -0.40442369, 'GrossProfitGrowthYoY': -0.73279236}}"
4400,VIC,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 1.15383437}, 'ProfitabilityRatio': {'EBITMargin': 0.05473563, 'ROA': 0.020559, 'ROE': 0.108734, 'ROIC': -0.00058429}, 'ValuationRatios': {'BasicEPS': 455.31370252, 'PriceToBook': 4.09537672, 'PriceToEarning': 39.61670235}, 'Growth': {'NetRevenueGrowthYoY': 0.13755697, 'GrossProfitGrowthYoY': -0.44141276}}"
4400,VIC,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.96248435}, 'ProfitabilityRatio': {'EBITMargin': -0.11718053, 'ROA': 0.013227, 'ROE': 0.070233, 'ROIC': -0.00467822}, 'ValuationRatios': {'BasicEPS': 326.02058413, 'PriceToBook': 5.59496812, 'PriceToEarning': 82.57924138}, 'Growth': {'NetRevenueGrowthYoY': -0.06167045, 'GrossProfitGrowthYoY': -0.37018713}}"
4713,VJC,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.75565421}, 'ProfitabilityRatio': {'EBITMargin': -0.16323491, 'ROA': 0.039105, 'ROE': 0.118864, 'ROIC': 0.08019161}, 'ValuationRatios': {'BasicEPS': -1826.75435353, 'PriceToBook': 3.59984517, 'PriceToEarning': 28.39394352}, 'Growth': {'NetRevenueGrowthYoY': -0.46979885, 'GrossProfitGrowthYoY': -1.3744835}}"
4713,VJC,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.65687564}, 'ProfitabilityRatio': {'EBITMargin': -0.23260419, 'ROA': 0.049638, 'ROE': 0.155118, 'ROIC': 0.0219354}, 'ValuationRatios': {'BasicEPS': 1911.94450062, 'PriceToBook': 3.54289882, 'PriceToEarning': 23.32463778}, 'Growth': {'NetRevenueGrowthYoY': -0.65748871, 'GrossProfitGrowthYoY': -1.54658108}}"
4713,VJC,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.74577588}, 'ProfitabilityRatio': {'EBITMargin': -0.30406019, 'ROA': -0.008337, 'ROE': -0.026753, 'ROIC': -0.45325094}, 'ValuationRatios': {'BasicEPS': -1793.45604693, 'PriceToBook': 4.71388479, 'PriceToEarning': -169.85694792}, 'Growth': {'NetRevenueGrowthYoY': -0.79307804, 'GrossProfitGrowthYoY': -1.29700246}}"
4713,VJC,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.76615517}, 'ProfitabilityRatio': {'EBITMargin': 0.03846533, 'ROA': 0.001458, 'ROE': 0.004591, 'ROIC': 0.03194261}, 'ValuationRatios': {'BasicEPS': 1837.50719615, 'PriceToBook': 4.48410002, 'PriceToEarning': 959.44565351}, 'Growth': {'NetRevenueGrowthYoY': -0.68188938, 'GrossProfitGrowthYoY': -0.62703736}}"
4252,VNM,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.19442107}, 'ProfitabilityRatio': {'EBITMargin': 0.22696974, 'ROA': 0.246819, 'ROE': 0.373263, 'ROIC': 0.30490121}, 'ValuationRatios': {'BasicEPS': 1587.49001361, 'PriceToBook': 6.37701955, 'PriceToEarning': 18.13103774}, 'Growth': {'NetRevenueGrowthYoY': 0.07307436, 'GrossProfitGrowthYoY': 0.07324272}}"
4252,VNM,2020,2,"{'SolvencyRatio': {'DebtToEquityRatio': 0.19692695}, 'ProfitabilityRatio': {'EBITMargin': 0.2181652, 'ROA': 0.237783, 'ROE': 0.373451, 'ROIC': 0.29361945}, 'ValuationRatios': {'BasicEPS': 1763.64218993, 'PriceToBook': 7.48887904, 'PriceToEarning': 21.03619161}, 'Growth': {'NetRevenueGrowthYoY': 0.06139295, 'GrossProfitGrowthYoY': 0.0176718}}"
4252,VNM,2020,3,"{'SolvencyRatio': {'DebtToEquityRatio': 0.20824223}, 'ProfitabilityRatio': {'EBITMargin': 0.2263975, 'ROA': 0.233065, 'ROE': 0.380019, 'ROIC': 0.29385539}, 'ValuationRatios': {'BasicEPS': 1472.34755633, 'PriceToBook': 7.31984802, 'PriceToEarning': 19.32627458}, 'Growth': {'NetRevenueGrowthYoY': 0.08902571, 'GrossProfitGrowthYoY': 0.08088357}}"
4252,VNM,2020,4,"{'SolvencyRatio': {'DebtToEquityRatio': 0.22242374}, 'ProfitabilityRatio': {'EBITMargin': 0.14881799, 'ROA': 0.238347, 'ROE': 0.377506, 'ROIC': 0.28485598}, 'ValuationRatios': {'BasicEPS': 1045.55818052, 'PriceToBook': 6.24371963, 'PriceToEarning': 17.60626595}, 'Growth': {'NetRevenueGrowthYoY': 0.01305102, 'GrossProfitGrowthYoY': -0.00331256}}"
1948,GVR,2020,1,"{'SolvencyRatio': {'DebtToEquityRatio': 0.23316762}, 'ProfitabilityRatio': {'EBITMargin': 0.07017992, 'ROA': 0.043458, 'ROE': 0.072294, 'ROIC': 0.03817739}, 'ValuationRatios': {'BasicEPS': 56.5474445, 'PriceToBook': 0.87780997, 'PriceToEarning': 12.29669759}, 'Growth': {'NetRevenueGrowthYoY': -0.19608372, 'GrossProfitGrowthYoY': -0.18960577}}"
